Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,rn
19,NO,Travel_Rarely,265,"RESEARCH & DEVELOPMENT",25,3,"Life Sciences",1,1269,2,Female,57,4,1,"RESEARCH SCIENTIST",4,Single,2994,21221,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1,1
19,YES,Travel_Rarely,528,SALES,22,1,Marketing,1,167,4,Male,50,3,1,"SALES REPRESENTATIVE",3,Single,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,1
19,YES,Travel_Rarely,419,SALES,21,3,Other,1,959,4,Male,37,2,1,"SALES REPRESENTATIVE",2,Single,2121,9947,1,Y,Yes,13,3,2,80,0,1,3,4,1,0,0,0,1
19,YES,Travel_Frequently,602,SALES,1,1,"Technical Degree",1,235,3,Female,100,1,1,"SALES REPRESENTATIVE",1,Single,2325,20989,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0,1
20,YES,Travel_Frequently,871,"RESEARCH & DEVELOPMENT",6,3,"Life Sciences",1,137,4,Female,66,2,1,"LABORATORY TECHNICIAN",4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,1
20,YES,Travel_Rarely,129,"RESEARCH & DEVELOPMENT",4,3,"Technical Degree",1,960,1,Male,84,3,1,"LABORATORY TECHNICIAN",1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,1
20,NO,Travel_Rarely,805,"RESEARCH & DEVELOPMENT",3,3,"Life Sciences",1,1198,1,Male,87,2,1,"LABORATORY TECHNICIAN",3,Single,3033,12828,1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2,1
20,YES,Travel_Rarely,1362,"RESEARCH & DEVELOPMENT",10,1,Medical,1,701,4,Male,32,3,1,"RESEARCH SCIENTIST",3,Single,1009,26999,1,Y,Yes,11,3,4,80,0,1,5,3,1,0,1,1,1
20,YES,Travel_Rarely,1097,"RESEARCH & DEVELOPMENT",11,3,Medical,1,1016,4,Female,98,2,1,"RESEARCH SCIENTIST",1,Single,2600,18275,1,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0,1
20,NO,Travel_Rarely,959,"RESEARCH & DEVELOPMENT",1,3,"Life Sciences",1,657,4,Female,83,2,1,"RESEARCH SCIENTIST",2,Single,2836,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0,1
20,YES,Travel_Rarely,500,SALES,2,3,Medical,1,922,3,Female,49,2,1,"SALES REPRESENTATIVE",3,Single,2044,22052,1,Y,No,13,3,4,80,0,2,3,2,2,2,0,2,1
20,YES,Travel_Frequently,769,SALES,9,3,Marketing,1,1077,4,Female,54,3,1,"SALES REPRESENTATIVE",4,Single,2323,17205,1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2,1
20,NO,Travel_Rarely,654,SALES,21,3,Marketing,1,1226,3,Male,43,4,1,"SALES REPRESENTATIVE",4,Single,2678,5050,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2,1
20,NO,Travel_Rarely,727,SALES,9,1,"Life Sciences",1,1680,4,Male,54,3,1,"SALES REPRESENTATIVE",1,Single,2728,21082,1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2,1
20,NO,Travel_Rarely,1141,SALES,2,3,Medical,1,1657,3,Female,31,3,1,"SALES REPRESENTATIVE",3,Single,2783,13251,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2,1
21,YES,Travel_Rarely,1334,"RESEARCH & DEVELOPMENT",10,3,"Life Sciences",1,1079,3,Female,36,2,1,"LABORATORY TECHNICIAN",1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0,1
21,YES,Travel_Frequently,251,"RESEARCH & DEVELOPMENT",10,2,"Life Sciences",1,1279,1,Female,45,2,1,"LABORATORY TECHNICIAN",3,Single,2625,25308,1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2,1
21,NO,Travel_Rarely,391,"RESEARCH & DEVELOPMENT",15,2,"Life Sciences",1,30,3,Male,96,3,1,"RESEARCH SCIENTIST",4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,1
21,NO,Travel_Rarely,984,"RESEARCH & DEVELOPMENT",1,1,"Technical Degree",1,1131,4,Female,70,2,1,"RESEARCH SCIENTIST",2,Single,2070,25326,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2,1
21,YES,Travel_Rarely,1427,"RESEARCH & DEVELOPMENT",18,1,Other,1,923,4,Female,65,3,1,"RESEARCH SCIENTIST",4,Single,2693,8870,1,Y,No,19,3,1,80,0,1,3,2,1,0,0,0,1
21,NO,Travel_Rarely,546,"RESEARCH & DEVELOPMENT",5,1,Medical,1,1623,3,Male,97,3,1,"RESEARCH SCIENTIST",4,Single,3117,26009,1,Y,No,18,3,3,80,0,3,2,3,2,2,2,2,1
21,NO,Travel_Rarely,996,"RESEARCH & DEVELOPMENT",3,2,Medical,1,379,4,Male,100,2,1,"RESEARCH SCIENTIST",3,Single,3230,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0,1
21,YES,Travel_Frequently,756,SALES,1,1,"Technical Degree",1,478,1,Female,99,2,1,"SALES REPRESENTATIVE",2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2,1
21,NO,Travel_Rarely,501,SALES,5,1,Medical,1,2021,3,Male,58,3,1,"SALES REPRESENTATIVE",1,Single,2380,25479,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2,1
21,NO,Non-Travel,895,SALES,9,2,Medical,1,484,1,Male,39,3,1,"SALES REPRESENTATIVE",4,Single,2610,2851,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,2,1
21,YES,Travel_Rarely,337,SALES,7,1,Marketing,1,1780,2,Male,31,3,1,"SALES REPRESENTATIVE",2,Single,2679,4567,1,Y,No,13,3,2,80,0,1,3,3,1,0,1,0,1
21,YES,Travel_Rarely,156,SALES,12,3,"Life Sciences",1,494,3,Female,90,4,1,"SALES REPRESENTATIVE",2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0,1
21,NO,Travel_Rarely,1343,SALES,22,1,"Technical Degree",1,669,3,Male,49,3,1,"SALES REPRESENTATIVE",3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,1
22,YES,Travel_Rarely,1294,"RESEARCH & DEVELOPMENT",8,1,Medical,1,1783,3,Female,79,3,1,"LABORATORY TECHNICIAN",1,Married,2398,15999,1,Y,Yes,17,3,3,80,0,1,6,3,1,0,0,0,1
22,NO,Travel_Rarely,217,"RESEARCH & DEVELOPMENT",8,1,"Life Sciences",1,1019,2,Male,94,1,1,"LABORATORY TECHNICIAN",1,Married,2451,6881,1,Y,No,15,3,1,80,1,4,3,2,4,3,1,1,1
22,NO,Travel_Rarely,594,"RESEARCH & DEVELOPMENT",2,1,"Technical Degree",1,169,3,Male,100,3,1,"LABORATORY TECHNICIAN",4,Married,2523,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1,1
22,NO,Travel_Rarely,534,"RESEARCH & DEVELOPMENT",15,3,Medical,1,144,2,Female,59,3,1,"LABORATORY TECHNICIAN",4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,1
22,NO,Non-Travel,1123,"RESEARCH & DEVELOPMENT",16,2,Medical,1,22,4,Male,96,4,1,"LABORATORY TECHNICIAN",4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,1
22,YES,Travel_Frequently,1368,"RESEARCH & DEVELOPMENT",4,1,"Technical Degree",1,593,3,Male,99,2,1,"LABORATORY TECHNICIAN",3,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2,1
22,YES,Travel_Rarely,617,"RESEARCH & DEVELOPMENT",3,1,"Life Sciences",1,926,2,Female,34,3,2,"MANUFACTURING DIRECTOR",3,Married,4171,10022,0,Y,Yes,19,3,1,80,1,4,3,4,3,2,0,2,1
22,NO,Travel_Rarely,1230,"RESEARCH & DEVELOPMENT",1,2,"Life Sciences",1,872,4,Male,33,2,2,"MANUFACTURING DIRECTOR",4,Married,4775,19146,6,Y,No,22,4,1,80,2,4,2,1,2,2,2,2,1
22,NO,Travel_Rarely,253,"RESEARCH & DEVELOPMENT",11,3,Medical,1,511,1,Female,43,3,1,"RESEARCH SCIENTIST",2,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2,1
22,NO,Travel_Rarely,1256,"RESEARCH & DEVELOPMENT",19,1,Medical,1,217,3,Male,80,3,1,"RESEARCH SCIENTIST",4,Married,2323,11992,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2,1
22,NO,Travel_Rarely,1136,"RESEARCH & DEVELOPMENT",5,3,"Life Sciences",1,284,4,Male,60,4,1,"RESEARCH SCIENTIST",2,Divorced,2328,12392,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,2,1
22,YES,Travel_Rarely,391,"RESEARCH & DEVELOPMENT",7,1,"Life Sciences",1,1878,4,Male,75,3,1,"RESEARCH SCIENTIST",2,Single,2472,26092,1,Y,Yes,23,4,1,80,0,1,2,3,1,0,0,0,1
22,NO,Travel_Rarely,604,"RESEARCH & DEVELOPMENT",6,1,Medical,1,675,1,Male,69,3,1,"RESEARCH SCIENTIST",3,Married,2773,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2,1
22,NO,Non-Travel,457,"RESEARCH & DEVELOPMENT",26,2,Other,1,1605,2,Female,85,2,1,"RESEARCH SCIENTIST",3,Married,2814,10293,1,Y,Yes,14,3,2,80,0,4,2,2,4,2,1,3,1
22,YES,Travel_Frequently,1256,"RESEARCH & DEVELOPMENT",3,4,"Life Sciences",1,1203,3,Male,48,2,1,"RESEARCH SCIENTIST",4,Married,2853,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0,1
22,NO,Travel_Rarely,581,"RESEARCH & DEVELOPMENT",1,2,"Life Sciences",1,2007,4,Male,63,3,1,"RESEARCH SCIENTIST",3,Single,3375,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2,1
23,YES,Travel_Rarely,1243,"RESEARCH & DEVELOPMENT",6,3,"Life Sciences",1,811,3,Male,63,4,1,"LABORATORY TECHNICIAN",1,Married,1601,3445,1,Y,Yes,21,4,3,80,2,1,2,3,0,0,0,0,1
23,NO,Travel_Rarely,507,"RESEARCH & DEVELOPMENT",20,1,"Life Sciences",1,1533,1,Male,97,3,2,"LABORATORY TECHNICIAN",3,Single,2272,24812,0,Y,No,14,3,2,80,0,5,2,3,4,3,1,2,1
23,NO,Travel_Rarely,650,"RESEARCH & DEVELOPMENT",9,1,Medical,1,758,2,Male,37,3,1,"LABORATORY TECHNICIAN",1,Married,2500,4344,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2,1
23,NO,Travel_Rarely,571,"RESEARCH & DEVELOPMENT",12,2,Other,1,1982,4,Male,78,3,1,"LABORATORY TECHNICIAN",4,Single,2647,13672,1,Y,No,13,3,3,80,0,5,6,4,5,2,1,4,1
23,NO,Travel_Rarely,160,"RESEARCH & DEVELOPMENT",4,1,Medical,1,1735,3,Female,51,3,1,"LABORATORY TECHNICIAN",2,Single,3295,12862,1,Y,No,13,3,3,80,0,3,3,1,3,2,1,2,1
23,YES,Travel_Rarely,1320,"RESEARCH & DEVELOPMENT",8,1,Medical,1,1684,4,Male,93,2,1,"LABORATORY TECHNICIAN",3,Single,3989,20586,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,1,2,1
23,NO,Travel_Rarely,373,"RESEARCH & DEVELOPMENT",1,2,"Life Sciences",1,1270,4,Male,47,3,1,"RESEARCH SCIENTIST",3,Married,1223,16901,1,Y,No,22,4,4,80,1,1,2,3,1,0,0,1,1
23,NO,Travel_Rarely,977,"RESEARCH & DEVELOPMENT",10,3,"Technical Degree",1,1592,4,Male,45,4,1,"RESEARCH SCIENTIST",3,Married,2073,12826,2,Y,No,16,3,4,80,1,4,2,3,2,2,2,2,1
23,NO,Travel_Rarely,885,"RESEARCH & DEVELOPMENT",4,3,Medical,1,705,1,Male,58,4,1,"RESEARCH SCIENTIST",1,Married,2819,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2,1
23,NO,Travel_Rarely,1309,"RESEARCH & DEVELOPMENT",26,1,"Life Sciences",1,465,3,Male,83,3,1,"RESEARCH SCIENTIST",4,Divorced,2904,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2,1
23,NO,Travel_Rarely,310,"RESEARCH & DEVELOPMENT",10,1,Medical,1,784,1,Male,79,4,1,"RESEARCH SCIENTIST",3,Single,3505,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2,1
23,YES,Travel_Frequently,638,SALES,9,3,Marketing,1,2023,4,Male,33,3,1,"SALES REPRESENTATIVE",1,Married,1790,26956,1,Y,No,19,3,1,80,1,1,3,2,1,0,1,0,1
23,YES,Travel_Rarely,427,SALES,7,3,"Life Sciences",1,1702,3,Male,99,3,1,"SALES REPRESENTATIVE",4,Divorced,2275,25103,1,Y,Yes,21,4,2,80,1,3,2,3,3,2,0,2,1
23,NO,Travel_Rarely,541,SALES,2,1,"Technical Degree",1,113,3,Male,62,3,1,"SALES REPRESENTATIVE",1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,1
24,YES,Travel_Rarely,240,"HUMAN RESOURCES",22,1,"Human Resources",1,1714,4,Male,58,1,1,"HUMAN RESOURCES",3,Married,1555,11585,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0,1
24,NO,Travel_Frequently,897,"HUMAN RESOURCES",10,3,Medical,1,1746,1,Male,59,3,1,"HUMAN RESOURCES",4,Married,2145,2097,0,Y,No,14,3,4,80,1,3,2,3,2,2,2,1,1
24,NO,Travel_Rarely,771,"RESEARCH & DEVELOPMENT",1,2,"Life Sciences",1,1981,2,Male,45,2,2,"HEALTHCARE REPRESENTATIVE",3,Single,4617,14120,1,Y,No,12,3,2,80,0,4,2,2,4,3,1,2,1
24,NO,Travel_Rarely,823,"RESEARCH & DEVELOPMENT",17,2,Other,1,643,4,Male,94,2,1,"LABORATORY TECHNICIAN",2,Married,2127,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0,1
24,YES,Travel_Rarely,984,"RESEARCH & DEVELOPMENT",17,2,"Life Sciences",1,1219,4,Female,97,3,1,"LABORATORY TECHNICIAN",2,Married,2210,3372,1,Y,No,13,3,1,80,1,1,3,1,1,0,0,0,1
24,NO,Travel_Rarely,350,"RESEARCH & DEVELOPMENT",21,2,"Technical Degree",1,1551,3,Male,57,2,1,"LABORATORY TECHNICIAN",1,Divorced,2296,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0,1
24,NO,Non-Travel,1092,"RESEARCH & DEVELOPMENT",9,3,"Life Sciences",1,812,3,Male,60,2,1,"LABORATORY TECHNICIAN",2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,1
24,NO,Travel_Rarely,1127,"RESEARCH & DEVELOPMENT",18,1,"Life Sciences",1,150,2,Male,52,3,1,"LABORATORY TECHNICIAN",3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,1
24,YES,Travel_Frequently,1287,"RESEARCH & DEVELOPMENT",7,3,"Life Sciences",1,647,1,Female,55,3,1,"LABORATORY TECHNICIAN",3,Married,2886,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2,1
24,NO,Non-Travel,1269,"RESEARCH & DEVELOPMENT",4,1,"Life Sciences",1,888,1,Male,46,2,1,"LABORATORY TECHNICIAN",4,Married,3162,10778,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4,1
24,YES,Travel_Frequently,381,"RESEARCH & DEVELOPMENT",9,3,Medical,1,1494,2,Male,89,3,1,"LABORATORY TECHNICIAN",1,Single,3172,16998,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0,1
24,NO,Travel_Rarely,477,"RESEARCH & DEVELOPMENT",24,3,Medical,1,1173,4,Male,49,3,1,"LABORATORY TECHNICIAN",2,Single,3597,6409,8,Y,No,22,4,4,80,0,6,2,3,4,3,1,2,1
24,NO,Travel_Rarely,506,"RESEARCH & DEVELOPMENT",29,1,Medical,1,1725,2,Male,91,3,1,"LABORATORY TECHNICIAN",1,Divorced,3907,3622,1,Y,No,13,3,2,80,3,6,2,4,6,2,1,2,1
24,NO,Non-Travel,673,"RESEARCH & DEVELOPMENT",11,2,Other,1,26,1,Female,96,4,2,"MANUFACTURING DIRECTOR",3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,1
24,NO,Travel_Rarely,1206,"RESEARCH & DEVELOPMENT",17,1,Medical,1,1009,4,Female,41,2,2,"MANUFACTURING DIRECTOR",3,Divorced,4377,24117,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2,1
24,YES,Travel_Rarely,813,"RESEARCH & DEVELOPMENT",1,3,Medical,1,45,2,Male,61,3,1,"RESEARCH SCIENTIST",4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,1
24,NO,Travel_Rarely,691,"RESEARCH & DEVELOPMENT",23,3,Medical,1,639,2,Male,89,4,1,"RESEARCH SCIENTIST",4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,1
24,NO,Travel_Frequently,567,"RESEARCH & DEVELOPMENT",2,1,"Technical Degree",1,1646,1,Female,32,3,1,"RESEARCH SCIENTIST",4,Single,3760,17218,1,Y,Yes,13,3,3,80,0,6,2,3,6,3,1,3,1
24,NO,Travel_Rarely,581,"RESEARCH & DEVELOPMENT",9,3,Medical,1,1707,3,Male,62,4,1,"RESEARCH SCIENTIST",3,Married,4401,17616,1,Y,No,16,3,4,80,1,5,1,3,5,3,0,4,1
24,NO,Travel_Rarely,1476,SALES,4,1,Medical,1,1445,4,Female,42,3,2,"SALES EXECUTIVE",3,Married,4162,15211,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3,1
24,NO,Travel_Rarely,1371,SALES,10,4,Marketing,1,507,4,Female,77,3,2,"SALES EXECUTIVE",3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,1
24,YES,Travel_Rarely,693,SALES,3,2,"Life Sciences",1,720,1,Female,65,3,2,"SALES EXECUTIVE",3,Single,4577,24785,9,Y,No,14,3,1,80,0,4,3,3,2,2,2,0,1
24,NO,Travel_Rarely,1353,SALES,3,2,Other,1,128,1,Female,33,3,2,"SALES EXECUTIVE",3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,1
24,NO,Non-Travel,830,SALES,13,2,"Life Sciences",1,1495,4,Female,78,3,1,"SALES REPRESENTATIVE",2,Married,2033,7103,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0,1
24,NO,Travel_Frequently,535,SALES,24,3,Medical,1,632,4,Male,38,3,1,"SALES REPRESENTATIVE",4,Married,2400,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1,1
24,YES,Travel_Rarely,1448,SALES,1,1,"Technical Degree",1,554,1,Female,62,3,1,"SALES REPRESENTATIVE",2,Single,3202,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,1
25,NO,Travel_Rarely,309,"HUMAN RESOURCES",2,3,"Human Resources",1,1987,3,Female,82,3,1,"HUMAN RESOURCES",2,Married,2187,19655,4,Y,No,14,3,3,80,0,6,3,3,2,0,1,2,1
25,NO,Non-Travel,675,"RESEARCH & DEVELOPMENT",5,2,"Life Sciences",1,369,2,Male,85,4,2,"HEALTHCARE REPRESENTATIVE",1,Divorced,4000,18384,1,Y,No,12,3,4,80,2,6,2,3,6,3,1,5,1
25,NO,Travel_Rarely,949,"RESEARCH & DEVELOPMENT",1,3,"Technical Degree",1,1415,1,Male,81,3,1,"LABORATORY TECHNICIAN",4,Married,3229,4910,4,Y,No,11,3,2,80,1,7,2,2,3,2,0,2,1
25,NO,Travel_Rarely,882,"RESEARCH & DEVELOPMENT",19,1,Medical,1,1358,4,Male,67,3,1,"LABORATORY TECHNICIAN",4,Married,3669,9075,3,Y,No,11,3,3,80,3,7,6,2,3,2,1,2,1
25,YES,Travel_Rarely,1219,"RESEARCH & DEVELOPMENT",4,1,"Technical Degree",1,1106,4,Male,32,3,1,"LABORATORY TECHNICIAN",4,Married,3691,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6,1
25,NO,Travel_Rarely,977,"RESEARCH & DEVELOPMENT",2,1,Other,1,1992,4,Male,57,3,1,"LABORATORY TECHNICIAN",3,Divorced,3977,7298,6,Y,Yes,19,3,3,80,1,7,2,2,2,2,0,2,1
25,YES,Travel_Rarely,688,"RESEARCH & DEVELOPMENT",3,3,Medical,1,538,1,Male,91,3,1,"LABORATORY TECHNICIAN",1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2,1
25,NO,Travel_Rarely,685,"RESEARCH & DEVELOPMENT",1,3,"Life Sciences",1,350,1,Female,62,3,2,"MANUFACTURING DIRECTOR",3,Married,4898,7505,0,Y,No,12,3,4,80,2,5,3,3,4,2,1,2,1
25,NO,Travel_Frequently,772,"RESEARCH & DEVELOPMENT",2,1,"Life Sciences",1,1653,4,Male,77,4,2,"MANUFACTURING DIRECTOR",3,Divorced,5206,4973,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7,1
25,NO,Travel_Rarely,266,"RESEARCH & DEVELOPMENT",1,3,Medical,1,1303,4,Female,40,3,1,"RESEARCH SCIENTIST",2,Single,2096,18830,1,Y,No,18,3,4,80,0,2,3,2,2,2,2,1,1
25,NO,Travel_Rarely,1280,"RESEARCH & DEVELOPMENT",7,1,Medical,1,143,4,Male,64,2,1,"RESEARCH SCIENTIST",4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,1
25,NO,Travel_Rarely,180,"RESEARCH & DEVELOPMENT",2,1,Medical,1,854,1,Male,65,4,1,"RESEARCH SCIENTIST",1,Single,3424,21632,7,Y,No,13,3,3,80,0,6,3,2,4,3,0,1,1
25,NO,Travel_Rarely,141,SALES,3,1,Other,1,879,3,Male,98,3,2,"SALES EXECUTIVE",1,Married,4194,14363,1,Y,Yes,18,3,4,80,0,5,3,3,5,3,0,3,1
25,NO,Travel_Rarely,583,SALES,4,1,Marketing,1,885,3,Male,87,2,2,"SALES EXECUTIVE",1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,1
25,NO,Travel_Rarely,891,SALES,4,2,"Life Sciences",1,527,2,Female,99,2,2,"SALES EXECUTIVE",4,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3,1
25,NO,Travel_Rarely,810,SALES,8,3,"Life Sciences",1,707,4,Male,57,4,2,"SALES EXECUTIVE",2,Married,4851,15678,0,Y,No,22,4,3,80,1,4,4,3,3,2,1,2,1
25,NO,Travel_Rarely,1382,SALES,8,2,Other,1,2018,1,Female,85,3,2,"SALES EXECUTIVE",3,Divorced,4907,13684,0,Y,Yes,22,4,2,80,1,6,3,2,5,3,0,4,1
25,NO,Travel_Rarely,1356,SALES,10,4,"Life Sciences",1,1240,3,Male,57,3,2,"SALES EXECUTIVE",4,Single,4950,20623,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1,1
25,YES,Travel_Rarely,240,SALES,5,3,Marketing,1,142,3,Male,46,2,2,"SALES EXECUTIVE",3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,1
